Country,ISO
mena,LBN
safr,ZWE
oceania,TUV
wafr,SHN
seasia,PHL
oceania,NRU
latinamer,VGB
latinamer,JAM
mena,TUR
latinamer,GUF
brasil,BRA
newzealand,NZL
latinamer,FLK
latinamer,ABW
wafr,NER
wafr,LBR
wafr,BEN
southasia,PAK
wafr,TGO
oceania,KIR
eu27,CYP
restofworld,ATA
mena,ISR
southasia,BGD
oceania,PCN
latinamer,ECU
eastasia,PRK
eafr,ERI
cafr,COG
seasia,LAO
eafr,SYC
nafr,TUN
efta,CHE
uruguay,URY
bolivia,BOL
seasia,SGP
eu27,DNK
restofworld,BMU
oceania,COK
cafr,CAF
latinamer,LCA
wafr,MLI
mena,IRN
restofworld,GGY
oceania,AUS
restofworld,MKD
oceania,TON
oceania,PYF
safr,SWZ
oceania,SLB
latinamer,SLV
restofworld,TKM
cafr,TCD
eu27,SVK
cafr,STP
nafr,EGY
oceania,TKL
southasia,NPL
cafr,BDI
restofworld,SMR
mena,OMN
latinamer,AIA
restofworld,ARM
wafr,SEN
cafr,GNQ
eu27,SWE
eafr,TZA
restofworld,FRO
eafr,RWA
southasia,BTN
latinamer,TCA
restofworld,VAT
efta,ISL
oceania,ASM
eu27,MTQ
eastasia,MAC
seasia,THA
ghana,GHA
us,USA
restofworld,LIE
restofworld,GIB
restofworld,MNE
eu27,AUT
safr,ZAF
safr,LSO
latinamer,URY
seasia,KHM
wafr,SLE
efta,NOR
latinamer,CHL
oceania,MNP
eu27,PRT
oceania,VUT
eu27,BGR
restofworld,JEY
cafr,CMR
latinamer,BHS
safr,MWI
latinamer,DMA
latinamer,HTI
restofworld,KGZ
restofworld,UKR
wafr,GNB
eafr,SSD
eafr,SDN
eafr,UGA
oceania,GUM
eafr,COM
eu27,ITA
peru,PER
madagascar,MDG
latinamer,DOM
mena,YEM
oceania,FJI
india,IND
latinamer,PRI
eastasia,TWN
eu27,HRV
eu27,IRL
wafr,GMB
colombia,COL
latinamer,GRD
mena,IRQ
korea,KOR
safr,BWA
latinamer,PAN
paraguay,PRY
latinamer,CRI
eu27,NLD
mena,SYR
latinamer,CYM
nafr,MRT
eafr,KEN
restofworld,IMN
myanmar,MMR
restofworld,AND
nafr,ESH
china,CHN
wafr,BFA
cafr,GAB
oceania,WSM
mena,ESH
latinamer,GTM
southasia,MDV
eu27,LVA
mexico,MEX
restofworld,AZE
eafr,DJI
latinamer,KNA
safr,NAM
restofworld,KAZ
latinamer,GUY
venezuela,VEN
restofworld,BVT
latinamer,CUB
eastasia,HKG
eu27,GLP
restofworld,MCO
southasia,AFG
restofworld,IOT
eu27,SVN
mena,KWT
drc,COD
latinamer,BRB
eu27,POL
restofworld,BIH
mena,ARE
restofworld,SRB
angola,AGO
restofworld,MDA
restofworld,ATF
latinamer,BLZ
oceania,NCL
canada,CAN
seasia,TLS
oceania,MHL
uk,GBR
japan,JPN
restofworld,UZB
nigeria,NGR
restofworld,BLR
restofworld,TJK
eu27,DEU
russia,RUS
eu27,FRA
eafr,MYT
wafr,CPV
eastasia,BRN
restofworld,GRL
seasia,VNM
eu27,CZE
eu27,REU
eu27,MLT
eu27,LTU
latinamer,SUR
eu27,LUX
latinamer,HND
oceania,FSM
latinamer,ATG
latinamer,VIR
latinamer,SGS
oceania,WLF
wafr,GIN
latinamer,VCT
safr,ZMB
eafr,MUS
oceania,UMI
malasya,MYS
eu27,EST
argentina,ARG
eu27,ROU
restofworld,GEO
latinamer,TTO
indonesia,IDN
eu27,BEL
nafr,MAR
efta,LIE
oceania,PLW
oceania,PNG
mozambique,MOZ
ivorycoast,CIV
mena,QAT
latinamer,NIC
eafr,SOM
mena,JOR
restofworld,ALB
eu27,GRC
latinamer,MSR
eastasia,MNG
southasia,LKA
oceania,NIU
nafr,DZA
nafr,LBY
restofworld,SPM
eu27,ESP
mena,SAU
eu27,FIN
eu27,HUN
eafr,ETH
